neighbor json,coviddata
aizwal, aizawl
anugul, angul
ashok nagar, ashoknagar
 badgam, budgam
 baleshwar, balasore
 banas kantha, banaskantha
 bangalore rural, bengaluru rural
 bangalore urban, bengaluru urban
 baramula, baramulla
 baudh, boudh
 belgaum, belagavi
 bellary, ballari
 bemetara, bametara
 bid, beed
 bishwanath, biswanath
 chamarajanagar, chamarajanagara
 dantewada, dakshin bastar dantewada
 debagarh, deogarh
 devbhumi dwaraka, devbhumi dwarka
 dhaulpur, dholpur
 east karbi anglong, karbi anglong
 faizabad, ayodhya
 fategarh sahib, fatehgarh sahib
 firozpur, ferozepur
 gondiya, gondia
 hugli, hooghly
 jagatsinghapur, jagatsinghpur
 jajapur, jajpur
 jalor, jalore
 jhunjhunun, jhunjhunu
 jyotiba phule nagar, amroha
 kabirdham, kabeerdham
 kaimur (bhabua), kaimur
 kanchipuram, kancheepuram
 kheri, lakhimpur kheri
 kochbihar, cooch behar
 kodarma, koderma
 komram bheem, komaram bheem
 lahul and spiti, lahaul and spiti
 mahesana, mehsana
 mahrajganj, maharajganj
 maldah, malda
 marigaon, morigaon
 muktsar, sri muktsar sahib
mumbai suburban, mumbai
 nandubar, nandurbar
 narsimhapur, narsinghpur
 nav sari, navsari
 pakaur, pakur
 palghat, palakkad
 panch mahal, panchmahal
 pashchim champaran, west champaran
 pashchimi singhbhum, west singhbhum
 pattanamtitta, pathanamthitta
 purba champaran, east champaran
 purbi singhbhum, east singhbhum
 puruliya, purulia
 rae bareilly, rae bareli
 rajauri, rajouri
 rangareddy, ranga reddy
 ri bhoi, ribhoi
 sabar kantha, sabarkantha
 sahibzada ajit singh nagar, s.a.s. nagar
 sait kibir nagar, sant kabir nagar
 sant ravidas nagar, bhadohi
 sepahijala, sipahijala
 seraikela kharsawan, saraikela-kharsawan
 shaheed bhagat singh nagar, shahid bhagat singh nagar
 sharawasti, shrawasti
 shimoga, shivamogga
 shopian, shopiyan
 siddharth nagar, siddharthnagar
 sivagangai, sivaganga
 sonapur, subarnapur
 south salmara-mankachar, south salmara mankachar
 sri ganganagar, ganganagar
 sri potti sriramulu nellore, s.p.s. nellore
 the dangs, dang
 the nilgiris, nilgiris
 thoothukudi, thoothukkudi
 tiruchchirappalli, tiruchirappalli
 tirunelveli kattabo, tirunelveli
 tiruvanamalai, tiruvannamalai
 tumkur, tumakuru
 yadagiri, yadgir
 ysr, y.s.r. kadapa
